id;name
207;nottesferza
194;fintoattacco
37;morso
69;ira
253;acquagetto
199;garanzia
228;gelodenti
97;lacerazione
157;velenodenti
131;sgranocchio
80;capocciata
128;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
166;rocciotomba
141;facciata
99;furto
274;coro
279;idrovampata
198;rivincita
285;nemesi
222;gigaimpatto
292;battiterra
205;velenpuntura
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
43;surf
53;forza
77;cascata
149;sub
133;forzantica
193;acquadisale
33;sdoppiatore
42;idropompa
79;comete
32;colpo
179;rimbalzo
110;ventogelato
101;russare
139;baraonda
188;idropulsar
233;cozzata zen
31;riduttore
